trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A200-A3907-4-17-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
A200-A3907-2-15-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200215996494161,A3907,0,0
A200-A3907-1-17-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200115996494161,A3907,0,0
A200-A3907-4-15-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
A200-A3908-4-4-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200415996494161,A3908,0,0
A200-A3907-3-7-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200315996494161,A3907,0,0
A200-A3907-1-21-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200115996494161,A3907,0,0
A200-A3908-2-14-14312301930,A200,14312301930,СЕЛО БИСТРИЦА,,,A200214312301930,A3908,0,0
A200-A3908-1-16-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200115996494161,A3908,0,0
A200-A3908-2-24-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200215996494161,A3908,0,0
A200-A3907-2-9-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200215996494161,A3907,0,0
A200-A3907-4-3-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
A200-A3907-4-27-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
A200-A3908-2-10-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200215996494161,A3908,0,0
A99-A3858-4-6-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99435998379791,A3858,0,0
A99-A3858-1-15-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99135998379791,A3858,0,0
A99-A1316-4-9-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99435998379791,A1316,0,0
A99-A1316-4-15-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99435998379791,A1316,0,0
A99-A1316-6-25-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99635998379791,A1316,0,0
A99-A3858-2-13-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99235998379791,A3858,0,0
A99-A3858-6-8-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99635998379791,A3858,0,0
